"시점","성별(1)",데이터
"2017","계",26496447
"2017","남성",12385530
"2017","여성",12451481
"2017","승무원",1659436
"2018","계",28695983
"2018","남성",13512627
"2018","여성",13415762
"2018","승무원",1767594
"2019","계",28714247
"2019","남성",13674478
"2019","여성",13245937
"2019","승무원",1793832
"2020","계",4276006
"2020","남성",1963723
"2020","여성",1724883
"2020","승무원",587400
"2021","계",1222541
"2021","남성",466056
"2021","여성",337145
"2021","승무원",419340
"2022","계",6554031
"2022","남성",3192005
"2022","여성",2712936
"2022","승무원",649090
"2023","계",22715841
"2023","남성",10659248
"2023","여성",10634134
"2023","승무원",1422459
"2024","계",28686435
"2024","남성",13415050
"2024","여성",13543945
"2024","승무원",1727440
"2025","계",21657007
"2025","남성",10218014
"2025","여성",10094792
"2025","승무원",1344201
